3.39,9.12,2.86,11.68,2.61,1.00
0.40,12.64,3.29,14.02,3.20,1.00
3.39,2.18,3.33,4.99,2.81,1.00
2.39,27.42,2.02,20.91,6.52,1.00
-0.60,27.42,2.68,21.61,6.67,1.00
2.39,30.42,1.70,23.95,6.50,1.00
4.39,24.42,2.71,21.56,3.31,1.00
2.39,19.34,1.63,24.12,4.84,1.00
0.40,3.38,2.07,9.56,6.40,1.00
2.39,25.42,2.54,21.54,3.89,1.00
0.40,10.31,3.11,13.95,4.54,1.00
2.39,27.42,3.01,30.68,3.32,0.00
1.40,27.42,2.66,21.48,6.08,1.00
0.40,3.38,2.18,9.48,6.35,1.00
1.40,5.62,2.29,5.87,0.93,1.00
1.40,5.62,2.07,5.94,0.74,1.00
0.40,3.38,3.02,5.02,3.09,1.00
1.40,2.18,3.15,4.96,3.28,1.00
2.39,3.38,2.62,13.63,10.25,1.00
2.39,10.31,1.81,7.74,2.64,1.00
1.40,5.62,2.86,11.78,6.33,1.00
1.40,30.42,1.71,23.94,6.49,1.00
1.40,14.88,2.35,29.71,14.86,1.00
2.39,30.42,2.46,29.77,0.65,1.00
2.39,0.00,2.18,0.48,0.52,1.00
2.39,27.42,1.04,30.75,3.59,0.00
0.40,12.64,2.87,15.27,3.61,1.00
-0.60,27.42,3.91,24.13,5.58,1.00
4.39,24.42,1.61,23.89,2.83,1.00
2.39,6.81,2.18,9.42,2.62,1.00
2.39,6.81,2.17,5.77,1.06,1.00
1.40,11.45,3.19,14.02,3.13,1.00
3.39,5.62,3.02,9.65,4.05,1.00
0.40,12.64,1.97,16.31,3.99,1.00
1.40,30.42,2.20,24.68,5.79,1.00
3.39,5.62,2.66,21.53,15.93,1.00
2.39,6.81,2.64,6.11,0.74,1.00
3.39,5.62,0.68,11.03,6.05,1.00
2.39,6.81,2.44,6.14,0.67,1.00
2.39,12.64,2.70,13.52,0.93,1.00
3.39,5.62,2.67,11.58,6.01,1.00
2.39,12.64,1.61,24.06,11.44,1.00
1.40,11.45,3.11,14.10,3.15,1.00
0.40,12.64,2.08,30.70,18.13,0.00
4.39,27.42,1.68,24.00,4.37,1.00
1.40,27.42,2.14,27.43,0.74,1.00
0.40,3.38,1.91,7.76,4.64,1.00
0.00,0.00,2.14,9.60,9.84,1.00
1.40,23.42,2.72,21.55,2.29,1.00
3.39,14.88,0.98,17.76,3.75,1.00
3.39,14.88,1.64,23.99,9.28,1.00
0.40,19.34,1.66,15.46,4.08,1.00
2.39,10.31,2.05,6.12,4.21,1.00
3.39,21.42,1.71,23.94,3.03,1.00
3.39,5.62,3.07,4.94,0.75,1.00
0.40,6.81,1.72,23.99,17.24,1.00
3.39,5.62,2.69,21.49,15.89,1.00
2.39,3.38,2.09,9.46,6.09,1.00
2.39,16.07,2.65,21.53,5.47,1.00
1.40,25.42,3.84,24.01,2.82,1.00
1.40,5.62,0.79,3.76,1.96,1.00
0.40,19.34,2.61,13.29,6.44,1.00
3.39,21.42,2.68,21.45,0.72,1.00
3.39,5.62,3.22,5.03,0.62,1.00
2.39,12.64,2.92,15.27,2.68,1.00
3.39,5.62,2.03,9.56,4.17,1.00
0.40,12.64,2.44,30.70,18.18,0.00
0.40,10.31,0.64,10.71,0.47,1.00
2.39,19.34,2.61,21.58,2.25,1.00
1.40,21.42,1.62,23.86,2.45,1.00
4.39,24.42,1.98,16.40,8.38,1.00
2.39,16.07,2.42,17.10,1.03,1.00
3.39,9.12,2.77,4.99,4.18,1.00
3.39,2.18,2.03,9.48,7.43,1.00
0.40,12.64,2.21,9.60,3.54,1.00
2.39,0.00,0.92,3.49,3.79,1.00
2.39,0.00,3.34,4.93,5.02,1.00
3.39,5.62,1.25,12.02,6.75,1.00
1.40,5.62,0.88,30.69,25.07,0.00
2.39,6.81,0.58,3.97,3.36,1.00
2.39,10.31,3.28,14.00,3.80,1.00
-0.60,24.42,2.68,21.53,4.37,1.00
1.40,11.45,3.29,14.23,3.36,1.00
0.40,16.07,0.74,16.54,0.58,1.00
2.39,0.00,3.33,5.07,5.15,1.00
3.39,2.18,2.13,9.45,7.38,1.00
3.39,5.62,2.05,9.42,4.03,1.00
1.40,5.62,0.89,3.54,2.14,1.00
1.40,23.42,1.63,23.90,0.53,1.00
2.39,3.38,2.19,9.56,6.19,1.00
3.39,21.42,3.31,14.86,6.56,1.00
