0.27,0.27,0.54,0.54,0.46,0.46,0.56,0.34
0.10,0.09,0.43,0.43,0.47,0.40,0.06,0.08
0.22,0.22,0.40,0.40,0.41,0.34,0.20,0.20
0.44,0.41,0.36,0.39,0.18,0.18,0.28,0.28
0.04,0.07,0.40,0.40,0.36,0.36,0.03,0.06
0.30,0.29,0.32,0.31,0.17,0.17,0.23,0.33
0.29,0.32,0.46,0.46,0.38,0.38,0.39,0.56
0.29,0.30,0.42,0.41,0.29,0.30,0.44,0.29
0.46,0.46,0.31,0.31,0.23,0.23,0.30,0.40
0.38,0.38,0.49,0.50,0.29,0.29,0.34,0.37
0.29,0.31,0.49,0.49,0.32,0.32,0.31,0.26
0.10,0.10,0.41,0.41,0.32,0.23,0.10,0.36
0.30,0.30,0.13,0.13,0.07,0.07,0.16,0.21
0.23,0.23,0.18,0.18,0.11,0.12,0.00,0.13
0.40,0.40,0.36,0.36,0.18,0.18,0.17,0.36
0.51,0.52,0.31,0.31,0.08,0.07,0.51,0.36
0.17,0.17,0.42,0.40,0.41,0.41,0.30,0.11
0.41,0.39,0.33,0.33,0.00,0.00,0.39,0.01
0.38,0.38,0.33,0.33,0.21,0.21,0.27,0.20
0.29,0.32,0.23,0.26,0.10,0.10,0.12,0.18
0.00,0.32,0.48,0.48,0.36,0.37,0.39,0.57
0.42,0.41,0.24,0.24,0.00,0.00,0.38,0.22
0.38,0.38,0.38,0.39,0.24,0.24,0.46,0.48
0.16,0.12,0.48,0.48,0.40,0.40,0.31,0.20
0.52,0.44,0.26,0.26,0.12,0.12,0.28,0.27
0.28,0.28,0.10,0.16,0.07,0.07,0.22,0.14
0.00,0.00,0.00,0.59,0.48,0.48,0.29,0.02
0.42,0.39,0.20,0.21,0.00,0.00,0.42,0.41
0.16,0.17,0.42,0.42,0.36,0.34,0.12,0.29
0.44,0.42,0.18,0.19,0.00,0.00,0.24,0.22
0.29,0.28,0.43,0.43,0.26,0.27,0.53,0.50
0.26,0.26,0.22,0.19,0.00,0.00,0.09,0.20
0.37,0.38,0.19,0.20,0.00,0.00,0.32,0.39
0.19,0.17,0.47,0.49,0.38,0.38,0.43,0.38
0.13,0.14,0.49,0.49,0.36,0.36,0.42,0.42
